"feature","estimate","ci_low","ci_high","p_value","fdr","smd","accession","disease","role"
"SRC_FAK",-0.139652692477529,-0.243111856463259,-0.0361935284917983,0.00828900456020029,0.0108394675018004,-0.3680038419394,"GSE19804","LUAD","validation"
"TAM_AXL_AXIS",-0.106206238420731,-0.224257160036825,0.0118446831953629,0.0777026171407723,0.0825590307120706,-0.221956832938923,"GSE19804","LUAD","validation"
"TGFB_SMAD",-0.389370007845753,-0.498704078481299,-0.280035937210207,1.17588049168026e-11,3.99799367171288e-11,-0.992410605293925,"GSE19804","LUAD","validation"
"TIE_ANGPT_AXIS",-0.788916221099312,-0.931008799928974,-0.646823642269651,2.88996862560453e-24,4.91294666352771e-23,-1.44713885089568,"GSE19804","LUAD","validation"
"VEGF_PDGF_AXIS",-0.524229446237728,-0.63248854210688,-0.415970350368576,2.19875731527709e-19,1.24596247865702e-18,-1.25118874030093,"GSE19804","LUAD","validation"
"WNT_CTNNB1",-0.478334168516564,-0.594307795798669,-0.36236054123446,7.36130390032455e-15,3.12855415763793e-14,-1.07653238392945,"GSE19804","LUAD","validation"
"EPH_RECEPTORS",0.582332051645728,0.404463739254438,0.760200364037017,2.77591074784834e-10,1.57301609044739e-09,1.06055641326874,"GSE10072","LUAD","validation"
"ERBB_LIGANDS",0.132734308393454,-0.039711037942411,0.30517965472932,0.131118678267851,0.139313595659591,0.250033488585067,"GSE10072","LUAD","validation"
"ERBB_RECEPTORS",0.230368546784346,0.0463922016054948,0.414344891963196,0.0142165399294855,0.0219710162546594,0.416778220259774,"GSE10072","LUAD","validation"
"FGFR_AXIS",-0.712777219194273,-0.853625324356096,-0.571929114032449,1.65666492629442e-21,2.81633037470052e-20,-1.78206486376917,"GSE10072","LUAD","validation"
"HGF_MET_AXIS",0.256977830666296,0.069404594431448,0.444551066901144,0.00733936983316271,0.0124769287163766,0.508169534457828,"GSE10072","LUAD","validation"
"IGF_INSR_AXIS",-0.263862138532787,-0.445842679769461,-0.0818815972961117,0.00456330668530721,0.00861957929446918,-0.516435741727534,"GSE10072","LUAD","validation"
"JAK_STAT",-0.383863307192684,-0.541072066023321,-0.226654548362048,2.08871783183095e-06,7.10164062822524e-06,-0.891604501602784,"GSE10072","LUAD","validation"
"PDGFR_KIT_CSF1R",-0.411250266290826,-0.593779791388963,-0.22872074119269,1.16158230497108e-05,3.29114986408471e-05,-0.853144390478418,"GSE10072","LUAD","validation"
"PI3K_AKT",0.138376761482755,0.0147046055625804,0.26204891740293,0.0283772971817912,0.0371087732377269,0.471986081175527,"GSE10072","LUAD","validation"
"RAS_MAPK",0.101417861017935,-0.024181604663313,0.227017326699182,0.113288174708615,0.128393264669764,0.276846380086451,"GSE10072","LUAD","validation"
"RET_ALK_NTRK",-0.429193359064043,-0.590132853964303,-0.268253864163783,2.31848136192674e-07,9.85354578818863e-07,-0.905757138069468,"GSE10072","LUAD","validation"
"SRC_FAK",-0.223761235447772,-0.409798500475145,-0.0377239704203994,0.0184955237005425,0.0262019919091018,-0.418517422175573,"GSE10072","LUAD","validation"
"TAM_AXL_AXIS",-0.153436154469027,-0.317007417273938,0.0101351083358849,0.0659282572550725,0.080055740952588,-0.291241550479282,"GSE10072","LUAD","validation"
"TGFB_SMAD",-0.295602901694183,-0.458134758037065,-0.133071045351301,0.00038481012726298,0.000817721520433833,-0.66899388051441,"GSE10072","LUAD","validation"
"TIE_ANGPT_AXIS",-0.703496791706961,-0.883971448242656,-0.523022135171266,8.74660346422237e-14,7.43461294458901e-13,-1.43003821319072,"GSE10072","LUAD","validation"
"VEGF_PDGF_AXIS",-0.370674834467102,-0.55294374705908,-0.188405921875123,7.36581333689061e-05,0.000178884038181629,-0.680759742575582,"GSE10072","LUAD","validation"
"WNT_CTNNB1",0.10283863492606,-0.120487822954587,0.326165092806706,0.358324317371648,0.358324317371648,0.150606868669291,"GSE10072","LUAD","validation"
"EPH_RECEPTORS",0.841995257268884,0.758978435916856,0.925012078620911,3.2688408253641e-42,2.77851470155949e-41,2.07572684330516,"GSE44076","CRC","discovery"
"ERBB_LIGANDS",-0.209173543225724,-0.313945850949591,-0.104401235501857,0.000126327563260305,0.000195233506856835,-0.402089549993366,"GSE44076","CRC","discovery"
"ERBB_RECEPTORS",-0.403914849879962,-0.531814582799396,-0.276015116960528,5.17866200673847e-09,1.10046567643193e-08,-0.617664802657789,"GSE44076","CRC","discovery"
"FGFR_AXIS",-0.56281571295054,-0.646076971814499,-0.479554454086582,1.92691831666783e-26,1.0919203794451e-25,-1.40761373019363,"GSE44076","CRC","discovery"
"HGF_MET_AXIS",0.38296394017872,0.286836280163169,0.479091600194271,1.00084668119674e-12,3.40287871606891e-12,0.790029554227907,"GSE44076","CRC","discovery"
