context,module,cell_type,paired,n_case_patients,n_control_patients,n_pairs,case_patient_mean,control_patient_mean,paired_diff_mean,p_value,p_method,fdr_global,fdr_context
STAD,JAK_STAT,enteroendocrine cell,False,23,27,0,0.11134558460806214,0.12031965531195753,,0.5332600457644527,mannwhitneyu,0.7759760109109503,0.8356664732887156
STAD,JAK_STAT,epithelial cell,False,28,34,0,0.10842105504507547,0.1100058905352169,,0.8707805551864919,mannwhitneyu,0.993851825734401,0.9873730002732902
STAD,JAK_STAT,foveolar cell of stomach,False,28,34,0,0.10423676580021854,0.101835833761204,,0.407964800362024,mannwhitneyu,0.6948940611206676,0.7817558187607511
STAD,JAK_STAT,intestine goblet cell,False,22,21,0,0.08108216045098567,0.10417877178646139,,0.8744201755831046,mannwhitneyu,0.993851825734401,0.9873730002732902
STAD,JAK_STAT,mucous neck cell of gastric gland,False,27,34,0,0.09961732195207992,0.09164567375545363,,0.27936052220476104,mannwhitneyu,0.607150988874007,0.7310179130255602
STAD,JAK_STAT,parietal cell,False,19,31,0,0.11905592190809015,0.09785712506962063,,0.28022353332646477,mannwhitneyu,0.607150988874007,0.7310179130255602
STAD,JAK_STAT,peptic cell,False,19,26,0,0.045102377503519184,0.061043212394200706,,0.4137595460780089,mannwhitneyu,0.6948940611206676,0.7817558187607511
STAD,JAK_STAT,type EC enteroendocrine cell,False,21,28,0,0.15594062961168262,0.13945236913452091,,0.4131818723415027,mannwhitneyu,0.6948940611206676,0.7817558187607511
STAD,JAK_STAT,type G enteroendocrine cell,False,13,27,0,0.10214317206788313,0.10202511694644552,,1.0,mannwhitneyu,1.0,1.0
STAD,JAK_STAT,type X enteroendocrine cell,False,13,27,0,0.15090399842871383,0.12950002072284852,,0.1026183592137615,mannwhitneyu,0.3161834007085756,0.43979296805897783
STAD,WNT_CTNNB1,BEST4+ enterocyte,False,5,7,0,0.2270316392183304,0.12402789362452246,,0.5129899106370105,mannwhitneyu,0.7699554267970995,0.8356664732887156
STAD,WNT_CTNNB1,enterocyte,False,19,22,0,0.1632273869006256,0.15826359423864822,,0.9478412865907828,mannwhitneyu,0.993851825734401,0.9873730002732902
STAD,WNT_CTNNB1,enteroendocrine cell,False,23,27,0,0.14342040794469837,0.1125337607261754,,0.07565673733788078,mannwhitneyu,0.2784756652595252,0.3954684003685565
STAD,WNT_CTNNB1,epithelial cell,False,28,34,0,0.32725220566016605,0.29122647283195546,,0.8374924408740465,mannwhitneyu,0.993851825734401,0.9873730002732902
STAD,WNT_CTNNB1,foveolar cell of stomach,False,28,34,0,0.27706883355312256,0.31945541220116264,,0.08313865519081831,mannwhitneyu,0.2784756652595252,0.3954684003685565
STAD,WNT_CTNNB1,intestine goblet cell,False,22,21,0,0.24108455389616543,0.2570521828736621,,0.9709167836020687,mannwhitneyu,0.993851825734401,0.9873730002732902
STAD,WNT_CTNNB1,mucous neck cell of gastric gland,False,27,34,0,0.21528111255893484,0.2180380796407258,,0.7770661110949808,mannwhitneyu,0.9827213927708044,0.9873730002732902
STAD,WNT_CTNNB1,parietal cell,False,19,31,0,0.17557217121050123,0.1564719593742195,,0.9361929072916735,mannwhitneyu,0.993851825734401,0.9873730002732902
STAD,WNT_CTNNB1,peptic cell,False,19,26,0,0.09492082178023362,0.09820460350643204,,0.15256800403725385,mannwhitneyu,0.39667681049686,0.5085600134575129
STAD,WNT_CTNNB1,type EC enteroendocrine cell,False,21,28,0,0.13031485724476952,0.09666848197245549,,0.9513144106850633,mannwhitneyu,0.993851825734401,0.9873730002732902
STAD,WNT_CTNNB1,type G enteroendocrine cell,False,13,27,0,0.17196834953827458,0.1355177940108532,,0.41693643667240055,mannwhitneyu,0.6948940611206676,0.7817558187607511
STAD,WNT_CTNNB1,type X enteroendocrine cell,False,13,27,0,0.13892089872282448,0.12471547670385671,,0.5431832076376651,mannwhitneyu,0.7759760109109503,0.8356664732887156
